CURRENT_TIME	VOLTAGE
202210-03 13-36-56	+3.30192010E+00
202210-03 13-36-57	+3.30193738E+00
202210-03 13-36-58	+3.30193409E+00
202210-03 13-36-59	+3.30192450E+00
202210-03 13-37-00	+3.30192502E+00
202210-03 13-37-01	+3.30193487E+00
202210-03 13-37-02	+3.30192502E+00
202210-03 13-37-03	+3.30192658E+00
202210-03 13-37-03	+3.30193461E+00
202210-03 13-37-04	+3.30193901E+00
202210-03 13-37-05	+3.30193746E+00
202210-03 13-37-06	+3.30192891E+00
202210-03 13-37-07	+3.30192969E+00
202210-03 13-37-08	+3.30192528E+00
202210-03 13-37-09	+3.30195948E+00
202210-03 13-37-10	+3.30194653E+00
202210-03 13-37-11	+3.30194109E+00
202210-03 13-37-11	+3.30193694E+00
202210-03 13-37-12	+3.30194316E+00
202210-03 13-37-13	+3.30194135E+00
202210-03 13-37-14	+3.30192865E+00
202210-03 13-37-15	+3.30192917E+00
202210-03 13-37-16	+3.30193435E+00
202210-03 13-37-17	+3.30192761E+00
202210-03 13-37-18	+3.30194912E+00
202210-03 13-37-18	+3.30192865E+00
202210-03 13-37-19	+3.30191518E+00
202210-03 13-37-20	+3.30190196E+00
